,name,year,genre,imdb_rating,metascore,runtime,number_votes,gross_earnings
0,Jai Bhim,2021,"Crime, Drama            ",9.3,,164,169828,
1,The Shawshank Redemption,1994,Drama            ,9.3,80,142,2530949,28340000
2,The Godfather,1972,"Crime, Drama            ",9.2,100,175,1742438,134970000
3,Soorarai Pottru,2020,Drama            ,9.1,,153,106495,
4,The Dark Knight,2008,"Action, Crime, Drama            ",9.0,84,152,2481427,534860000
5,The Godfather: Part II,1974,"Crime, Drama            ",9.0,90,202,1208872,57300000
6,12 Angry Men,1957,"Crime, Drama            ",9.0,96,96,747828,4360000
7,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama            ",8.9,94,201,1746563,377850000
8,Pulp Fiction,1994,"Crime, Drama            ",8.9,94,154,1949526,107930000
9,Schindler's List,1993,"Biography, Drama, History            ",8.9,94,195,1293128,96900000
10,Inception,2010,"Action, Adventure, Sci-Fi            ",8.8,74,148,2224159,292580000
11,Fight Club,1999,Drama            ,8.8,66,139,1990689,37030000
12,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama            ",8.8,92,178,1767907,315540000
13,Forrest Gump,1994,"Drama, Romance            ",8.8,82,142,1953407,330250000
14,"The Good, the Bad and the Ugly",1966,"Adventure, Western            ",8.8,90,178,731434,6100000
15,Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy            ",8.7,71,148,408294,
16,Dara of Jasenovac,2020,"Drama, War            ",8.7,,130,80227,
17,Shershaah,2021,"Action, Biography, Drama            ",8.7,,135,112246,
18,Sardar Udham,2021,"Biography, Crime, Drama            ",8.7,,164,35047,
19,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama            ",8.7,87,179,1578043,342550000
20,The Matrix,1999,"Action, Sci-Fi            ",8.7,73,136,1826135,171480000
21,Goodfellas,1990,"Biography, Crime, Drama            ",8.7,90,146,1094779,46840000
22,Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy            ",8.7,82,124,1228820,290480000
23,One Flew Over the Cuckoo's Nest,1975,Drama            ,8.7,84,133,969560,112000000
24,Parasite,2019,"Comedy, Drama, Thriller            ",8.6,96,132,708752,53370000
25,Drishyam 2,2021,"Crime, Drama, Thriller            ",8.6,,152,33420,
26,Interstellar,2014,"Adventure, Drama, Sci-Fi            ",8.6,74,169,1676720,188020000
27,City of God,2002,"Crime, Drama            ",8.6,79,130,732315,7560000
28,Spirited Away,2001,"Animation, Adventure, Family            ",8.6,96,125,713851,10060000
29,Saving Private Ryan,1998,"Drama, War            ",8.6,91,169,1321179,216540000
30,The Green Mile,1999,"Crime, Drama, Fantasy            ",8.6,61,189,1231365,136800000
